Bird_ID,Species,Region,Habitat,Weather_Condition,Migration_Reason,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude,Flight_Distance_km,Flight_Duration_hours,Average_Speed_kmph,Max_Altitude_m,Min_Altitude_m,Temperature_C,Wind_Speed_kmph,Humidity_%,Pressure_hPa,Visibility_km,Nesting_Success,Tag_Battery_Level_%,Signal_Strength_dB,Migration_Start_Month,Migration_End_Month,Rest_Stops,Predator_Sightings,Tag_Type,Migrated_in_Flock,Flock_Size,Food_Supply_Level,Tracking_Quality,Migration_Interrupted,Interrupted_Reason,Tagged_By,Tag_Weight_g,Migration_Success,Recovery_Location_Known,Recovery_Time_days,Observation_Counts,Observation_Quality
B1014,Stork,Africa,Wetland,Stormy,Climate Change,36.72522048863566,99.43331049201885,-28.240025021599266,-32.84439136106579,1571.3,46.3,49.01,5374,718,-6.0,45.3,43,1014.0,19.3,Yes,63,-63.8,Apr,Jun,8,1,Satellite,No,344,Low,Good,No,Lost Signal,Researcher_C,24.5,Successful,Yes,23,61,Low
B1015,Crane,South America,Forest,Rainy,Avoid Predators,24.642394706256496,159.78379444723646,63.72053423500583,-144.54310317069115,2609.86,63.0,50.06,2985,631,5.0,5.7,84,1005.8,7.3,No,34,-81.7,Oct,Nov,13,5,Satellite,Yes,342,High,Good,Yes,Predator,Researcher_A,16.2,Failed,Yes,57,55,High
B1016,Eagle,Asia,Forest,Foggy,Breeding,5.674693594501221,-28.86507194954757,52.43308388080612,-144.41625072110548,2131.78,57.3,56.6,8353,212,-9.7,47.6,36,1018.5,6.7,Yes,43,-51.1,May,Dec,6,8,Radio,Yes,273,High,Excellent,No,N/A,Researcher_C,21.9,Successful,No,79,92,Low
B1017,Hawk,Africa,Wetland,Stormy,Feeding,-57.02441972721686,102.00003605887053,-30.222553190312347,-24.323824806293572,3288.87,66.5,61.05,1832,108,25.7,55.1,86,984.8,5.2,No,84,-58.9,Jan,Nov,5,3,Satellite,No,90,High,Fair,Yes,Lost Signal,Researcher_B,27.5,Failed,Yes,74,42,Low
B1018,Goose,Africa,Mountain,Stormy,Breeding,-67.74666253102467,-103.35916587020056,65.66345594977818,-159.16207265417495,1694.11,48.9,50.23,4278,744,-6.2,14.0,74,1011.2,9.0,Yes,60,-61.1,Jan,Jun,1,9,Satellite,No,475,Low,Excellent,No,Predator,Researcher_B,25.3,Failed,Yes,84,11,Low
B1019,Stork,Asia,Mountain,Stormy,Avoid Predators,-2.572018777911552,83.80578769958771,74.44800109215512,25.782926854066062,2380.28,58.3,45.48,2108,639,17.0,16.6,83,956.0,6.5,No,42,-68.5,May,Apr,3,3,Satellite,No,194,Low,Fair,Yes,Predator,Researcher_C,22.0,Successful,Yes,39,75,Moderate
B1020,Eagle,North America,Forest,Windy,Feeding,-61.30005188265732,102.72718189886143,9.442592844166967,-2.2860952679238267,2083.79,53.7,38.04,6720,637,5.5,48.5,22,978.2,6.0,No,84,-72.6,Mar,Nov,6,9,GPS,Yes,338,High,Good,No,Injury,Researcher_B,19.2,Successful,Yes,78,25,Moderate
B1021,Eagle,Africa,Mountain,Foggy,Feeding,13.859986620480484,77.9487875580923,-61.337339521546866,72.91266685062425,2216.22,53.5,59.29,4204,553,10.8,47.1,47,966.3,16.3,No,67,-60.1,Sep,Dec,8,7,GPS,Yes,192,Low,Good,No,Predator,Researcher_A,11.8,Successful,No,13,19,Moderate
B1022,Goose,Europe,Mountain,Windy,Feeding,26.22649145421927,125.9327035285782,48.65905491268825,-113.1762494124616,1931.06,40.2,61.03,5433,698,3.2,47.6,75,1028.2,7.2,Yes,75,-64.2,Feb,Jun,10,9,GPS,No,385,Low,Excellent,No,Predator,Researcher_B,18.3,Successful,No,106,42,Moderate
B1023,Stork,Australia,Mountain,Windy,Climate Change,4.61080755360733,-31.199239134141976,-32.51803679501478,33.45453134166078,2586.22,19.3,43.28,7043,815,23.3,48.5,74,961.5,4.9,Yes,40,-72.4,Jan,Jun,9,2,Satellite,Yes,495,Low,Fair,No,Lost Signal,Researcher_C,19.2,Failed,Yes,61,10,High
B1024,Hawk,Australia,Forest,Windy,Breeding,-83.44319174772954,16.11652754717693,4.91065020716438,-117.17190851563655,2613.6,49.4,51.25,1826,745,4.9,20.7,11,1020.6,14.0,Yes,70,-84.7,Sep,Apr,6,9,Satellite,Yes,252,Medium,Good,No,Predator,Researcher_C,22.8,Successful,No,60,31,Low
B1025,Swallow,Africa,Mountain,Rainy,Avoid Predators,-79.60896741558021,-176.15973214970245,-81.79404038505574,80.00413685015371,1635.55,29.0,50.44,6973,844,22.2,57.0,41,987.6,2.7,Yes,93,-75.3,Apr,Apr,5,0,Radio,Yes,29,Low,Poor,No,Predator,Researcher_A,11.2,Successful,Yes,67,41,Low
B1026,Stork,North America,Grassland,Foggy,Climate Change,-69.59858675733261,-127.42086131783137,0.01627607108005691,-69.42288303010568,2811.67,56.0,41.55,6392,302,7.3,53.9,85,993.9,5.5,Yes,45,-54.2,Apr,Jun,13,4,Radio,No,369,High,Good,Yes,N/A,Researcher_B,27.1,Successful,Yes,79,85,Low
B1027,Goose,North America,Coastal,Rainy,Climate Change,-62.34375510209898,51.909813226015785,-21.552384016730514,41.18983297165727,1707.03,45.8,51.63,8954,877,8.4,7.7,48,1018.1,13.9,No,28,-52.7,Apr,Oct,6,2,Satellite,Yes,258,High,Poor,No,Lost Signal,Researcher_A,7.2,Successful,No,50,59,Moderate
B1028,Eagle,South America,Forest,Rainy,Feeding,88.17887047847998,22.43419187221619,33.49175278334384,137.76381362500445,2514.63,41.6,53.13,1260,842,14.5,2.5,42,1032.2,5.3,Yes,49,-69.0,Sep,Mar,5,1,Satellite,Yes,313,Medium,Good,Yes,Lost Signal,Researcher_A,22.3,Failed,No,94,16,Low
B1029,Hawk,Europe,Wetland,Foggy,Climate Change,-27.99089696463796,-108.96029512509455,-82.65893760790047,-4.2357145746154,3381.04,41.4,48.54,9118,800,9.6,55.1,45,987.6,1.4,Yes,93,-74.6,Mar,Mar,3,2,Satellite,No,173,Medium,Excellent,Yes,N/A,Researcher_B,14.7,Failed,No,68,63,High
B1030,Stork,North America,Mountain,Rainy,Breeding,-37.44479274456849,-92.35267410229864,22.490184984470375,-110.77484042546646,2069.98,50.8,50.81,2401,198,16.6,12.9,30,964.5,15.9,No,88,-71.7,Nov,Apr,2,5,GPS,No,19,High,Poor,Yes,Injury,Researcher_A,25.1,Failed,Yes,30,46,High
B1031,Swallow,Asia,Urban,Foggy,Climate Change,-80.59200558043877,-56.1304073075551,48.952093243331916,139.00424433117365,2350.51,59.6,52.49,3614,881,31.3,44.5,14,1011.0,7.8,No,50,-66.5,Oct,May,4,0,Satellite,No,295,Medium,Excellent,No,Injury,Researcher_A,23.6,Failed,Yes,4,64,High
B1032,Swallow,Europe,Forest,Stormy,Climate Change,24.357670323407376,77.90929665966331,-87.69993360590452,-50.91136191660473,2105.61,47.0,49.82,4950,838,6.3,39.7,89,1044.5,9.9,No,58,-73.9,Jan,Apr,3,3,Radio,Yes,335,Low,Poor,Yes,Lost Signal,Researcher_B,26.3,Successful,Yes,77,95,Moderate
B1033,Crane,Australia,Wetland,Windy,Feeding,27.394341323630528,39.49797695878834,44.993402040961826,82.89103512495603,2164.56,42.4,48.5,8646,190,22.0,43.5,23,969.2,11.6,Yes,31,-80.7,Mar,Dec,5,4,GPS,No,2,Low,Excellent,Yes,N/A,Researcher_B,14.1,Successful,No,63,53,Low
B1034,Crane,Europe,Coastal,Rainy,Feeding,-58.41923587584036,-154.95434489689566,-66.56327509047236,-64.76555572948674,2655.19,42.6,48.41,8523,504,29.3,37.1,63,998.0,12.0,No,24,-68.9,Oct,Mar,6,6,Radio,Yes,223,Medium,Good,Yes,Lost Signal,Researcher_C,22.2,Successful,No,1,87,Moderate
B1035,Warbler,Asia,Grassland,Foggy,Climate Change,75.46347736643037,93.57809364444984,35.65010078513302,-72.64244064568442,3306.63,66.2,53.04,1624,410,-6.3,17.2,21,955.3,1.4,Yes,21,-72.4,May,Mar,9,3,Satellite,No,118,Medium,Excellent,Yes,N/A,Researcher_A,27.1,Failed,Yes,69,54,Moderate
B1036,Goose,Africa,Wetland,Clear,Feeding,54.088838387122905,-85.44255731206937,-8.05025225237263,51.13017335295214,2482.46,49.5,52.6,5163,696,15.1,35.6,44,972.9,16.6,Yes,50,-63.1,Sep,Nov,13,8,Satellite,Yes,195,Medium,Poor,No,Predator,Researcher_A,29.6,Failed,No,69,23,Moderate
B1037,Stork,Asia,Mountain,Rainy,Avoid Predators,-48.54252297464855,61.83348422559126,9.358435136118047,-123.7278833258516,3096.37,22.6,54.9,5138,823,-4.7,31.9,76,1007.8,5.7,No,35,-82.6,May,May,2,1,Satellite,Yes,103,Medium,Excellent,No,Lost Signal,Researcher_B,25.4,Failed,Yes,16,46,Moderate
B1038,Stork,Asia,Urban,Rainy,Avoid Predators,-2.547048435023271,-135.58937592184185,-29.27749492245369,132.11059350524994,2137.23,46.1,51.41,4938,658,25.4,18.4,29,1015.5,13.6,Yes,64,-67.6,Mar,Jun,7,8,GPS,Yes,128,Medium,Fair,No,Storm,Researcher_A,12.3,Successful,Yes,32,74,High
B1039,Warbler,Africa,Mountain,Foggy,Avoid Predators,-7.489645884207022,179.25165961890053,-45.8160468610648,-40.45536481469304,3054.22,35.7,54.02,9444,708,6.7,20.9,82,970.8,13.4,Yes,41,-57.7,Mar,May,3,7,GPS,Yes,477,Low,Fair,Yes,Lost Signal,Researcher_A,10.4,Successful,Yes,71,7,Moderate
B1040,Eagle,Africa,Wetland,Clear,Climate Change,-27.26632001838226,-151.0793385524229,-77.21147554967715,-173.06012305133984,3331.38,43.8,57.34,9229,113,13.0,38.8,81,1039.1,13.5,No,56,-75.8,Nov,Jun,7,6,Satellite,No,483,Medium,Poor,Yes,Storm,Researcher_C,17.4,Failed,No,71,11,Low
B1041,Eagle,Africa,Forest,Clear,Breeding,57.17424830861037,87.02425022435824,65.64419774661718,-70.04286950019575,3109.23,38.2,43.18,6882,163,14.0,50.1,68,1024.1,18.6,No,77,-77.4,Feb,May,11,5,Radio,Yes,214,High,Good,No,N/A,Researcher_B,27.4,Failed,No,8,58,Low
B1042,Warbler,Africa,Urban,Stormy,Breeding,-70.33239258819282,14.878929331114335,19.87725881442276,102.5878768558207,2864.82,69.1,51.79,4604,138,16.3,35.7,26,1013.9,9.7,No,80,-70.3,Feb,Mar,3,3,GPS,Yes,491,High,Good,Yes,Predator,Researcher_A,20.4,Successful,No,1,76,Low
B1043,Eagle,Africa,Urban,Rainy,Feeding,-15.243436830997311,-149.0618911377102,86.90384867776513,129.3691879205229,2815.85,53.2,51.62,9119,199,34.1,26.3,65,965.7,10.8,No,95,-70.9,Oct,May,14,1,GPS,Yes,69,High,Good,No,Lost Signal,Researcher_C,14.4,Failed,Yes,39,12,Moderate
B1044,Crane,Asia,Wetland,Windy,Breeding,-12.954396501140934,-170.34823528172802,63.08134207288498,24.436899701415996,2120.68,60.7,45.92,9819,223,13.0,7.4,41,993.4,3.2,No,45,-70.2,May,Mar,9,3,Satellite,Yes,222,Low,Excellent,No,Injury,Researcher_C,25.0,Failed,Yes,54,56,Moderate
B1045,Stork,South America,Coastal,Rainy,Breeding,-5.629391169447658,-49.44034169399569,66.5339880994467,-74.12064550468395,1762.44,68.9,53.72,8402,540,23.8,1.1,86,1031.9,7.6,No,94,-73.7,Oct,Dec,10,9,GPS,No,288,Low,Fair,Yes,Injury,Researcher_B,10.3,Failed,Yes,109,59,Low
B1046,Warbler,South America,Coastal,Windy,Climate Change,65.04299839775317,108.80061552257183,17.612942522881156,10.02747732898132,2832.45,52.9,49.12,5796,496,33.9,5.3,24,1015.4,1.3,No,73,-74.1,Nov,Mar,14,8,GPS,No,312,Medium,Excellent,No,Predator,Researcher_C,25.6,Successful,No,98,18,High
B1047,Stork,North America,Mountain,Windy,Feeding,-50.72996336372977,-165.1855534986987,-75.43031319611195,121.09510750740844,2107.14,75.5,49.03,2516,569,24.4,4.1,52,950.3,7.2,Yes,51,-56.9,Mar,Jun,5,4,Satellite,Yes,294,Medium,Poor,No,N/A,Researcher_B,14.4,Successful,Yes,7,65,High
B1048,Swallow,South America,Wetland,Foggy,Breeding,-71.4738287677909,73.58351879809948,74.41132717185775,-66.226381297829,2146.55,34.7,41.33,4491,711,27.5,9.9,31,974.1,10.5,No,85,-80.3,Apr,Dec,5,7,GPS,Yes,222,Medium,Poor,No,Predator,Researcher_A,25.6,Successful,Yes,44,63,Low
B1049,Crane,Australia,Urban,Rainy,Avoid Predators,21.20552330779944,55.93545945512591,-68.7804778531374,-41.24268950544365,1756.42,64.1,50.04,9777,897,-8.0,54.2,75,1023.6,2.2,Yes,75,-62.4,Feb,May,11,7,GPS,No,496,Medium,Excellent,No,Predator,Researcher_C,19.6,Failed,No,70,54,Low
B1050,Hawk,South America,Wetland,Foggy,Feeding,-58.709794503951514,-84.40643636180381,3.0862816845424277,14.289887876415946,2212.82,52.0,50.61,6180,709,-1.5,9.0,20,989.2,13.8,No,79,-60.0,Nov,Dec,10,6,Radio,No,94,Medium,Poor,Yes,Predator,Researcher_A,29.2,Failed,No,73,86,Low
B1051,Crane,Asia,Urban,Stormy,Feeding,-76.51222454616844,-152.1028671354395,64.23403286009594,139.3697504414381,3043.22,58.7,55.18,3991,107,20.5,11.6,50,994.6,9.4,Yes,60,-78.6,Apr,Apr,14,5,Radio,Yes,20,Medium,Fair,No,Injury,Researcher_C,18.5,Failed,No,32,94,Low
B1052,Warbler,Africa,Mountain,Windy,Feeding,-13.203140297210368,149.5159057994623,-4.966557421802236,29.573616179327416,2978.13,48.6,55.32,4139,112,30.6,36.8,93,993.0,2.2,No,49,-77.9,Feb,Mar,1,3,Satellite,Yes,390,Low,Poor,Yes,Lost Signal,Researcher_A,7.5,Failed,No,55,50,Moderate
B1053,Hawk,Africa,Forest,Clear,Avoid Predators,-50.46364244553463,-71.87407101477937,-60.17933625163506,-105.25854406080485,1840.59,56.5,49.29,6750,263,-7.2,32.3,55,1023.3,9.3,Yes,94,-70.8,Mar,Mar,7,7,Satellite,Yes,421,High,Good,No,Predator,Researcher_A,15.2,Successful,Yes,102,47,Low
B1054,Swallow,Asia,Forest,Windy,Breeding,-24.981008603762945,-139.902036556766,-22.824567232756124,-147.9225463266924,2016.67,54.2,53.08,5971,672,26.4,50.2,18,987.2,3.8,Yes,47,-69.0,Oct,Mar,10,3,Satellite,Yes,66,Low,Fair,Yes,N/A,Researcher_C,17.9,Failed,Yes,73,30,High
B1055,Warbler,Australia,Wetland,Stormy,Avoid Predators,-43.252005581557654,65.34614820992977,87.90972483777878,-145.7949755059683,1599.86,49.0,54.97,9638,283,-1.6,13.8,48,1022.9,17.0,No,46,-76.7,Oct,Nov,13,8,Satellite,No,120,High,Fair,No,N/A,Researcher_A,9.2,Successful,No,79,74,Low
B1056,Goose,South America,Urban,Windy,Feeding,-73.32543670978517,-101.99475763501393,89.95665356842372,162.08984656319302,2682.61,51.4,47.4,1304,460,10.0,29.0,75,1041.1,10.8,No,78,-75.0,Oct,Apr,8,8,Radio,No,345,Medium,Fair,No,Predator,Researcher_B,8.0,Successful,No,46,6,Low
B1057,Stork,Asia,Forest,Foggy,Feeding,10.862496526356281,-8.772927997453223,37.95029820859365,116.0684911121595,2593.64,67.6,46.22,5582,893,28.0,6.5,82,964.0,11.9,Yes,35,-76.5,Mar,Apr,8,6,GPS,Yes,308,Medium,Fair,No,Injury,Researcher_B,7.8,Successful,Yes,9,72,Moderate
B1058,Swallow,North America,Urban,Rainy,Climate Change,-85.13668475289258,-161.85400407502812,69.838615683802,95.7076884452124,2636.36,42.7,46.42,3540,364,-2.3,35.2,58,1047.8,7.8,Yes,23,-66.8,Jan,Nov,2,7,GPS,Yes,213,Medium,Good,Yes,Lost Signal,Researcher_C,12.0,Successful,Yes,31,81,Low
B1059,Stork,Africa,Mountain,Clear,Climate Change,83.94756263899191,177.47422160691775,-82.04278893037548,-1.3087514987832094,2278.32,65.4,50.99,1096,826,19.5,36.1,51,983.8,8.0,Yes,67,-64.0,Sep,May,2,3,GPS,Yes,433,Low,Good,No,N/A,Researcher_C,17.2,Successful,Yes,65,73,Moderate
B1060,Eagle,Europe,Wetland,Foggy,Climate Change,-28.560506087706074,-18.856394360822748,-40.32511650315158,62.11426221993145,2828.61,42.5,47.46,3789,242,27.3,50.9,87,1044.6,5.4,Yes,47,-70.4,Sep,Dec,1,7,Radio,Yes,365,High,Excellent,Yes,Injury,Researcher_C,10.5,Successful,No,84,81,Moderate
B1061,Goose,North America,Urban,Rainy,Climate Change,35.12835188816469,179.67959327143234,-23.587281112710215,-134.16109036470937,2354.7,56.7,47.31,4525,356,18.2,19.8,23,998.1,15.8,No,24,-76.8,Apr,Apr,14,6,GPS,No,413,Low,Good,No,N/A,Researcher_C,28.9,Successful,No,114,59,Moderate
B1062,Goose,Australia,Wetland,Clear,Feeding,55.86531705854097,-41.157044303736114,-87.84042345572726,43.52245764478073,2978.71,49.5,44.1,6176,566,-8.7,17.9,73,1012.9,1.3,Yes,44,-66.8,Jan,Mar,13,1,Radio,Yes,334,Low,Fair,Yes,Lost Signal,Researcher_B,6.6,Successful,No,39,92,High
B1063,Swallow,North America,Urban,Stormy,Avoid Predators,-39.761136802880074,-54.773079860801005,-22.146919992549243,111.88106372836063,1952.34,56.3,56.55,2417,868,19.5,57.1,74,1028.9,11.5,No,90,-53.1,May,Oct,6,6,Satellite,Yes,257,Low,Poor,No,Storm,Researcher_C,21.8,Successful,No,25,57,High
B1064,Goose,Asia,Coastal,Windy,Climate Change,44.77296763981229,149.24603817614644,-73.25431468930796,-157.63005351494937,2934.92,53.0,50.55,4791,545,-1.8,27.0,21,970.5,4.3,No,73,-75.5,Jan,Oct,1,3,Radio,No,148,High,Poor,Yes,Predator,Researcher_C,26.7,Failed,Yes,36,87,Moderate
B1065,Hawk,South America,Coastal,Clear,Avoid Predators,59.835753976447734,-61.392292615984275,3.1336743628092307,-73.38584796866019,2716.45,55.2,45.54,1378,200,-1.9,17.4,98,985.0,17.1,Yes,13,-72.3,Jan,Nov,6,7,Satellite,No,381,Low,Fair,Yes,Injury,Researcher_B,5.8,Failed,No,32,99,Moderate
B1066,Goose,Africa,Urban,Stormy,Climate Change,-46.562897913909566,-24.478002966142526,-89.20452439819259,-140.2996775893458,2829.99,56.4,56.74,2440,489,7.6,36.4,80,982.2,13.8,Yes,76,-75.1,May,Jun,1,9,Radio,Yes,25,Low,Poor,No,Injury,Researcher_A,21.0,Failed,Yes,11,36,Moderate
B1067,Stork,Australia,Mountain,Rainy,Breeding,88.6490418412931,-151.88024278290328,-41.31902005791272,-86.31826701549937,2337.59,51.9,53.71,9708,356,24.8,8.6,54,1033.4,3.4,Yes,21,-59.3,May,Dec,1,1,Satellite,No,65,High,Fair,No,Lost Signal,Researcher_C,22.0,Successful,Yes,85,74,High
B1068,Stork,Australia,Wetland,Clear,Climate Change,-86.27603708842392,163.96645969277125,65.93101247415805,98.10859388421784,3377.07,62.5,41.21,4811,473,-5.6,23.2,84,952.9,9.1,Yes,95,-70.4,Apr,Jun,5,8,Satellite,Yes,463,Low,Fair,No,Storm,Researcher_A,8.5,Successful,No,58,63,Low
B1069,Warbler,Europe,Grassland,Stormy,Avoid Predators,-50.93991355760261,-149.3455532936752,-51.64955029435238,-60.462300136329645,2142.57,55.2,49.9,9481,246,11.9,27.5,16,979.0,10.2,Yes,63,-90.1,Apr,Oct,6,5,GPS,No,17,Low,Fair,No,Lost Signal,Researcher_A,11.9,Failed,No,108,22,Low
B1070,Stork,North America,Urban,Rainy,Climate Change,50.403736129858714,97.62657607271672,-78.32818266318932,68.28618523966264,3640.52,67.5,54.8,5686,441,30.0,53.0,32,992.3,19.6,Yes,87,-76.4,Nov,May,6,0,GPS,Yes,1,Low,Fair,Yes,N/A,Researcher_B,17.6,Successful,Yes,104,70,High
B1071,Warbler,Europe,Urban,Foggy,Breeding,-55.056415489964486,13.901541772023705,-45.04845879909811,98.38890754016938,2723.42,47.8,43.39,3884,555,11.7,43.6,97,951.7,12.7,Yes,67,-75.3,Oct,Nov,8,7,GPS,Yes,175,Low,Good,Yes,Lost Signal,Researcher_A,21.1,Failed,Yes,39,4,Low
B1072,Stork,South America,Coastal,Windy,Avoid Predators,35.68677539511717,-157.8941481428875,58.96056708062761,113.98992864205206,3072.87,42.7,44.15,6470,613,4.0,23.5,70,984.2,15.2,Yes,24,-66.8,Sep,May,8,7,GPS,Yes,235,Medium,Good,Yes,Storm,Researcher_B,19.7,Failed,No,119,15,Low
B1073,Hawk,South America,Forest,Stormy,Avoid Predators,63.99547289692265,-179.38662190521978,15.693725429015629,134.41515962700691,3227.46,54.6,48.74,2876,178,2.5,27.9,74,988.1,14.8,No,34,-69.6,Apr,Nov,12,4,Satellite,Yes,285,Medium,Poor,No,Storm,Researcher_A,16.6,Failed,Yes,26,2,Low
B1074,Warbler,Europe,Coastal,Foggy,Avoid Predators,82.65856907416682,156.79930986976655,15.493386480757337,35.14889232694918,2889.6,35.7,53.82,1140,137,34.5,56.5,64,963.2,9.3,Yes,52,-78.4,Oct,May,3,6,Satellite,No,228,Medium,Fair,No,N/A,Researcher_A,14.1,Successful,No,34,86,Moderate
B1075,Crane,Africa,Wetland,Rainy,Feeding,-4.635447227951488,87.1824255247958,-89.8966778998496,-78.96966048013518,3438.06,60.9,55.93,4342,549,-5.1,50.2,45,1041.0,12.7,No,36,-71.2,May,Apr,1,5,Radio,No,142,Medium,Fair,No,Storm,Researcher_C,25.7,Failed,Yes,14,50,Moderate
B1076,Eagle,South America,Coastal,Clear,Avoid Predators,84.79964213678113,67.11704767418937,-5.012781502389998,-125.79892849599,2973.59,46.5,49.37,6457,485,8.5,7.0,52,1035.3,5.0,No,49,-71.6,Feb,May,14,8,GPS,Yes,207,Low,Excellent,Yes,Storm,Researcher_B,9.1,Successful,No,7,54,Low
B1077,Swallow,Europe,Grassland,Windy,Feeding,-15.90798659729785,-22.119648984280104,-42.18875285377752,1.335115516777904,2866.99,59.2,45.49,6830,372,23.7,21.5,19,1004.2,15.0,Yes,18,-63.7,Feb,Dec,7,9,GPS,No,111,High,Excellent,Yes,Storm,Researcher_C,21.2,Failed,Yes,9,24,High
